key,name,ramo,unidad,state,lat,lng,advance,monto_total_inversion,ciclo,classification,ejercido
'13067120001,Servicios relacionados con obra pública para los inmuebles de la SHCP 2014.,6,"Dirección General de Recursos Materiales, Obra Públicay Servicios Generales",9,0,0,100.00,5718235.00,2014,,
'1411A3Q0005,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para Recintos y Centros de Difusión Cultural,11,Universidad Nacional Autónoma de México,35,0,0,100.00,52189229.00,2015,,
'1409J3A0001,Construcción Centro Unificado para la Protección Marítima y Portuaria (CUMAR),9,"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V.",16,17.937753,-102.182273,100.00,66115178.00,2015,,
'1411A3Q0011,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para Escuelas y Unidades Multidisciplinarias (FES),11,Universidad Nacional Autónoma de México,35,0,0,100.00,53283378.00,2015,,
'1511A3Q0016,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública 2016 para Centros e Institutos de Investigación Humanística (Equipo de Cómputo). UNAM,11,Universidad Nacional Autónoma de México,35,0,0,100.00,20927680.00,2016,,
'14312000006,ADQUISICION DE VEHICULOS 2015,31,Tribunales Unitarios Agrarios,35,0,0,100.00,7801897.00,2015,,
'1511A3Q0006,Programa de Mantenimiento 2016 de Infraestructura de Educación Superior (licenciatura) en C.U. UNAM.,11,Universidad Nacional Autónoma de México,9,0,0,100.00,154971200.00,2016,,
'14312000008,Adquisición de mobiliario y equipo 2015,31,Tribunales Unitarios Agrarios,35,0,0,100.00,1247821.00,2015,,
'1511A3Q0019,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública 2016 para Escuelas y Unidades Multidisciplinarias. UNAM.,11,Universidad Nacional Autónoma de México,35,0,0,100.00,51407482.00,2016,,
'1511A3Q0020,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública 2016 para Educación Superior (Licenciatura) en C.U. UNAM.,11,Universidad Nacional Autónoma de México,9,0,0,100.00,51642060.00,2016,,
'1409J2T0003,Servicios Relacionados con la Obra Pública,9,"Administración Portuaria Integral de Mazatlán, S.A. de C.V.",25,0,0,100.00,5328426.00,2015,,
'1511A3Q0009,"Programa de Adquisiciones de Bienes no Asociados a la Obra Pública 2016 para Educación Superior de nivel Posgrado, (Equipo de Cómputo). UNAM.",11,Universidad Nacional Autónoma de México,35,0,0,100.00,32569019.00,2016,,
'143890K0003,DESARROLLO DE LABORATORIOS DE TECNOLOGÍAS Y SERVICIOS ESPECIALIZADOS PARA EL SECTOR AERONAUTICO.,38,"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C.",22,20.490811,-100.222162,100.00,21313705.00,2016,,
'1520VSS0010,Ampliación de oficinas administrativas y archivo general en almacenes de la Sucursal Metropolitana.,20,"Diconsa, S.A. de C.V.",15,19.56928667,-99.7563333,100.00,8035267.00,2016,,
'1450GYR0081,"Adquisición de equipos prioritarios para el HGR No. 12 Lic. Benito Juárez García en la ciudad de Mérida, Yucatán.",50,Instituto Mexicano del Seguro Social,31,0,0,100.00,1300774.00,2015,,
'1310LAU0007,Exploración de Minerales No Metálicos,10,Servicio Geológico Mexicano,35,0,0,100.00,5456333.00,2014,,
'1450GYR0022,Adquisición de mobiliario administrativo para unidades normativas de la Dirección de Finanzas del IMSS.,50,Instituto Mexicano del Seguro Social,9,0,0,100.00,740821.00,2014,,
'1450GYR0078,"Ampliación y Remodelación de la Unidad de Medicina Familiar con Hospitalización No. 26 en Taretan, Michoacán",50,Instituto Mexicano del Seguro Social,16,19.3341155,-101.9211959,100.00,7246660.00,2015,,
'1311L4J0008,"Programa de adquisición de bienes muebles para equipamiento de laboratorios y aulas del Cinvestav, financiado con recursos propios.",11,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,35,0,0,100.00,159778350.00,2014,,
'1409J4V0006,REHABILITACIÓN DE EDIFICIO PRINCIPAL Y PATIO DE HONOR EN LA ESCUELA NÁUTICA MERCANTE DE MAZATLÁN.,9,Fideicomiso de Formación y Capacitación para el Personal de la Marina Mercante Nacional,25,0,0,100.00,2300808.00,2015,,
'1606HJY0001,Programa de Adquisiciones de Mobiliario y Equipo,6,Pronósticos para la Asistencia Pública,9,0,0,100.00,1608320.00,2016,,
'1212NCD0001,Construcción del Laboratorio de inflamación e Inmunoregulación del Departamento de Investigación en Tabaquismo y EPOC y del Cuarto de Lavado de Inhaloterapia 2012-2014,12,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,9,19.291226,-99.158403,100.00,1849308.00,2014,,
'1511B000001,"Programa de equipamiento de bienes informaticos en 5 unidades academicas de nivel superior (UPIIG, ESIME TOCOMÁN, ESIME ZACATENCO, ESIA TICOMÁN, ESIA ZACATENCO).",11,Instituto Politécnico Nacional,35,0,0,100.00,46215744.00,2015,,
'1411MDC0004,Producción de cortometrajes,11,Instituto Mexicano de Cinematografía,9,0,0,100.00,28757049.00,2015,,
'1450GYR0046,Adquisición de guardavisibles para la Subdelegación Mérida Sur.,50,Instituto Mexicano del Seguro Social,31,0,0,100.00,117256.00,2014,,
'0810K2N0009,Optimización del proceso de producción de Sal.,10,"Exportadora de Sal, S.A. de C.V.",3,27.958889,-114.056111,100.00,100737549.00,2015,,
'1450GYR0049,Adquisición de mobiliario administrativo para la Subdelegación Aguascalientes Norte.,50,Instituto Mexicano del Seguro Social,1,0,0,100.00,528921.00,2014,,
'1206AYB0004,Equipamiento del Almacén,6,,35,0,0,100.00,5509598.00,2014,,
'133891U0004,Construcción y equipamiento del Centro de Visitantes del INAOE,38,"Instituto Nacional de Astrofísica, Óptica y Electrónica",21,0,0,100.00,3636334.00,2014,,
'1450GYR0059,"Mejora integral de las áreas físicas en la Unidad de Medicina Familiar No. 7 de San Luis Potosí, S.L.P.",50,Instituto Mexicano del Seguro Social,24,0,0,100.00,6234132.00,2014,,
'1409J2U0008,Programa de adquisiciones 2014.,9,"Administración Portuaria Integral de Progreso, S.A. de C.V.",31,0,0,100.00,2118640.00,2015,,
'1311L6H0003,Proyecto de actualización de la infraestructura de laboratorios de Centros de Investigación del Instituto Politécnico Nacional,11,Comisión de Operación y Fomento de Actividades Académicas del Instituto Politécnico Nacional,35,0,0,100.00,18298350.00,2014,,
'1211L5X0005,Programa de Adquisiciones de Equipamiento de Talleres 2013,11,Colegio Nacional de Educación Profesional Técnica,35,0,0,100.00,72207886.00,2014,,
'1506E000002,Reordenamiento y ampliación de la Aduana de Ojinaga,6,Servicio de Administración Tributaria,8,29.56,-104.4,100.00,441984190.00,2016,,
'17133120003,Adquisición de Perros de Trabajo,13,Dirección General de Administración y Finanzas,9,0,0,100.00,486157.00,2017,,486156.00
'1409J2Z0002,Pavimentación de vialidades internas,9,"Administración Portuaria Integral de Guaymas, S.A. de C.V.",26,0,0,100.00,21313706.00,2015,,
'1412NCG0004,"Mantenimiento a las diferentes áreas del INCMNSZ, 2015.",12,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,9,0,0,100.00,26642132.00,2015,,
'1320VSS0013,Adquisición de Equipo de Transporte,20,"Diconsa, S.A. de C.V.",35,0,0,100.00,127822680.00,2014,,
'1320VSS0007,Equipamiento de Tiendas y CABEs,20,"Diconsa, S.A. de C.V.",35,0,0,100.00,37986045.00,2015,,
'1520VSS0004,Equipo de Seguridad,20,"Diconsa, S.A. de C.V.",35,0,0,100.00,13872043.00,2015,,
'12116160002,"Programa de Adquisición de Bienes Informáticos, Equipos Audiovisuales y Mobiliario para 36 Planteles Educativos",11,Dirección General del Bachillerato,35,0,0,100.00,11143741.00,2014,,
'1420VSS0016,Ampliación de las oficinas de servicios generales en Oficinas Centrales,20,"Diconsa, S.A. de C.V.",9,19.29838333,-99.18594444,100.00,8167144.00,2014,,
'1309JZL0023,Programa de estudios de preinversión para estaciones de combustibles 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100.00,30293975.00,2014,,
'12056140002,Programa de adquisición de infraestructura de cómputo y telecomunicaciones para la implementación y mejora a la operación del Sistema Integral de Administración Consular 2012.,5,Dirección General de Tecnologías de Información e Innovación,33,0,0,100.00,8602453.00,2015,,
'133890C0002,Programa de modernización de infraestructura y equipo de tecnologías de información y comunicaciones del CIMAT 2014.,38,"Centro de Investigación en Matemáticas, A.C.",35,0,0,100.00,7544212.00,2014,,
'1209JZL0015,PROGRAMA DE ADQUISICION DE VEHICULOS PARA LA SEGURIDAD OPERACIONAL 2013,9,Aeropuertos y Servicios Auxiliares,35,0,0,100.00,46432062.00,2014,,
'1008I000002,"Dragado de rehabilitación, supervisión de obra y Evaluación Biológico Pesquera en la Bahía de Lobos, Municipio de San Ignacio Rio Muerto",8,Comisión Nacional de Acuacultura y Pesca,26,0,0,100.00,157665858.00,2016,,
'1411L6I0009,Construcción o rehabilitación de edificaciones en la ENED,11,Comisión Nacional de Cultura Física y Deporte,9,19.40239894,-99.09455149,100.00,4102888.00,2015,,
'1112NCG0006,Reforzamiento Estructural del edificio de Hospitalización del INCMNSZ 2013-2015,12,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,9,0,0,100.00,93664674.00,2015,,
'15071120005,Adquisición de Bienes para mantener la Operatividad de las Plantas Productivas de la Dirección General De Industria Militar,7,Dirección General de Industria Militar,35,0,0,100.00,6550260.00,2017,,816756.00
'1420VSS0006,Construcción de almacén central y oficinas administrativas de la Unidad Operativa  Istmo  Costa en Sucursal Oaxaca.,20,"Diconsa, S.A. de C.V.",20,16.55852167,-95.10023667,100.00,48572618.00,2014,,
'1309J2R0004,Programa de adqusiciones 2014,9,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",2,0,0,100.00,13263483.00,2014,,
'1420VSS0014,"Compra de almacén granelero en Estado de Chiapas, Sucursal Sureste",20,"Diconsa, S.A. de C.V.",7,16.6984,-92.545891,100.00,49850844.00,2014,,
'1620VSS0003,Adquisición de Equipo de Transporte 2016,20,"Diconsa, S.A. de C.V.",35,0,0,100.00,373077661.00,2016,,
'1409JZL0023,Programa de adquisiciones de equipo de laboratorio y aseguramiento de la calidad del combustible 2015,9,Aeropuertos y Servicios Auxiliares,9,0,0,100.00,4123946.00,2015,,
'1412NBV0002,Adquisición de Motores para Elevador INcan 2014,12,Instituto Nacional de Cancerología,9,0,0,100.00,2754800.00,2014,,
'133890K0004,"REINVERSIÓN EN EQUIPO DE LABORATORIO. ACTUALIZACIÓN, REEMPLAZO O SUSTITUCIÓN.",38,"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C.",22,0,0,100.00,7162479.00,2014,,
'14056130009,"Adquisición de un bien inmueble y mobiliario para el Consulado de México en Tucson, Arizona, E.U.A.",5,Dirección General de Bienes Inmuebles y Recursos Materiales,33,0,0,100.00,65827327.00,2015,,
'14056130010,"Programa de adquisición de mobiliario y equipo para las Representaciones de México en Europa, América Latina, África, Asia-Pacífico y Medio Oriente 2014.",5,Dirección General de Bienes Inmuebles y Recursos Materiales,33,0,0,100.00,22414467.00,2015,,
'1411L6I0007,"Adecuación, mantenimiento y rehabilitación de edificaciones en el CNAR",11,Comisión Nacional de Cultura Física y Deporte,9,19.39981843,-99.08762067,100.00,7992640.00,2015,,
'1512U000003,QUINTANA ROO.-Adquisición de Unidad de Tomografía Computarizada de 32 cortes para sustituir unidad de tomografía de 1 corte en el Hospital General de Chetumal.- FIDEICOMISO 2015.,12,Comisión Nacional de Protección Social en Salud,23,0,0,100.00,27907100.00,2015,,
'1550GYR0028,"Ampliación de 2 consultorios en la Unidad de Medicina Familiar No. 20 en Ciudad Benito Juárez, N.L.",50,Instituto Mexicano del Seguro Social,19,25.644892,-100.094354,100.00,2189376.00,2016,,
'13389ZW0004,Construcción de Unidad Cultural y Deportiva del CICESE,38,"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California",2,0,0,100.00,8815357.00,2014,,
'13312000003,Bienes Informáticos,31,Tribunales Unitarios Agrarios,35,0,0,100.00,18489841.00,2015,,
'1506E000001,Reordenamiento del Área de Exportación del Puerto Fronterizo Mexicali II,6,Servicio de Administración Tributaria,2,32.6672267,-115.390755,100.00,116141533.00,2016,,
'1412NAW0001,Programa de adquisiciones de equipo médico para la unidad de radiodiagnostico e imagen 2014,12,Hospital Juárez de México,9,0,0,100.00,23971630.00,2014,,
'1511L6I0003,"Construcción, adecuación y rehabilitación de inmuebles y canchas deportivas de la CONADE.",11,Comisión Nacional de Cultura Física y Deporte,9,19.40239894,-99.09455149,100.00,5690759.00,2015,,
'1520VQZ0001,Adquisición de mobiliario y herramientas.,20,Consejo Nacional de Evaluación de la Política de Desarrollo Social,9,0,0,100.00,576148.00,2015,,
'1420VST0001,Construcción de 1 centro de Acopio en Michoacán.,20,"Liconsa, S.A. de C.V.",16,19.817482,-101.045742,100.00,13293559.00,2014,,
'1550GYR0011,"Ampliación y Remodelación de la Unidad de Urgencias en el Hospital General de Zona con Medicina Familiar número 8 de Cd. Sahagún, Hidalgo.",50,Instituto Mexicano del Seguro Social,13,19.7724535,-98.5707468,100.00,10091232.00,2017,,0.00
'1309JZL0022,Programa de mantenimiento y rehabilitación de tanques de almacenamiento 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100.00,8436297.00,2014,,
'1420VSS0015,Adquisición de Equipo de Computo para el sistema de Punto de Venta en CABES de Diconsa.,20,"Diconsa, S.A. de C.V.",35,0,0,100.00,9407749.00,2014,,
'1411B010001,Programa Anual de Adquisición de Bienes de Inversión: Plan de Transición Digital 2015,11,XE-IPN Canal 11,9,0,0,100.00,17547236.00,2015,,
'1310LAU0004,Investigación Aplicada a Ciencias de la Tierra,10,Servicio Geológico Mexicano,35,0,0,100.00,14778760.00,2014,,
'133890I0001,"Proyecto de aprovisionamiento de equipamiento de TICs en las unidades de CIATEJ, año 2014",38,"Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, A.C.",35,0,0,100.00,4407678.00,2014,,
'13312000002,Mobiliario y Equipo de Oficina Tribunales Agrarios,31,Tribunales Unitarios Agrarios,35,0,0,100.00,5564952.00,2014,,
'133891S0004,VIRTUALIZACIÓN DE LA BIBLIOTECA DEL GÉNERO DE HISTORIA Y CIENCIAS SOCIALES PARA LA MOVILIDAD ACADÉMICA.,38,"Instituto de Investigaciones ""Dr. José María Luis Mora""",34,0,0,100.00,3824374.00,2014,,
'113891Q0006,"Ampliación y Modernización de la infraestructura Científica y Tecnológica del Instituto de Ecología, A.C. (Campus III)",38,"Instituto de Ecología, A.C.",30,19.51234543,-96.94518322,100.00,505659911.00,2014,,
'12095100004,"NUEVA TERMINAL MARITIMA DE ISLA MUJERES, QUINTANA ROO.",9,Dirección General de Puertos,23,21.25511,-86.746654,100.00,32881440.00,2014,,
'12095100011,"Dragado en Puertos no Concesionados, Dragado de Mantenimiento y Obras Complementarias en la Región Golfo Sureste y Caribe 2013",9,Dirección General de Puertos,31,0,0,100.00,22479160.00,2014,,
'1520VST0002,"Rehabilitación , Ampliación y Mantenimiento Mayor a Instalaciones 2015",20,"Liconsa, S.A. de C.V.",35,0,0,100.00,31346271.00,2015,,
'12125130001,Adquisición de Enfriadores/Calentadores de Agua para las Diferentes Áreas que conforman la Dirección General de Recursos Humanos. 2014,12,Dirección General de Recursos Humanos,9,0,0,100.00,114365.00,2014,,
'1409J3L0001,Programa de Inversión de Mantenimiento de la Vías Férreas Chiapas y Mayab.,9,"Ferrocarril del Istmo de Tehuantepec, S.A. de C.V.",35,0,0,100.00,1483086545.00,2014,,
'1412NHK0004,Reconfiguración y Adecuación del edificio SEDE DIF NACIONAL 2015,12,Sistema Nacional para el Desarrollo Integral de la Familia,9,0,0,100.00,4944780.00,2015,,
'1409J2V0003,Programa de Adquisiciones de Equipo de Seguridad,9,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",14,0,0,100.00,803527.00,2015,,
'1306HBW0001,Revestimiento de vialidad interna en el CDT Tezoyuca,6,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",17,0,0,100.00,1072560.00,2014,,
'1209KDN0008,Instalaciones Y Obras De Construcción Especializada,9,"Aeropuerto Internacional de la Ciudad de México, S.A. de C.V.",9,0,0,100.00,136677610.00,2014,,
'133891Q0002,Ampliación de la infraestructura científica del Centro de Investigaciones Costeras la Mancha (CICOLMA),38,"Instituto de Ecología, A.C.",30,19.59128889,-96.38065338,100.00,5509598.00,2015,,
'1511A3Q0024,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública 2016 para Recintos y Centros de Difusión y Extensión Cultural. UNAM.,11,Universidad Nacional Autónoma de México,35,0,0,100.00,51507005.00,2016,,
'1309JZL0021,Programa de accesibilidad 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100.00,2617808.00,2014,,
'1311L6H0002,Proyecto de consolidación y actualización tecnológica para el equipamiento de laboratorios y talleres del Nivel Superior del Instituto Politécnico Nacional,11,Comisión de Operación y Fomento de Actividades Académicas del Instituto Politécnico Nacional,35,0,0,100.00,54895047.00,2014,,
'1412NDF0002,"Programa de inversión de adquisiciones de equipo médico para la Dirección de Investigación Instituto Nacional de Rehabilitación, 2014",12,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,9,0,0,100.00,296661.00,2014,,
'1320VST0003,Adquisición de Maquinaria y Equipo Industrial 2014,20,"Liconsa, S.A. de C.V.",35,0,0,100.00,111721115.00,2014,,
'1111L4J0012,"Infraestructura mayor a las redes de drenaje, alcantarillado y riego de la Unidad Zacatenco",11,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,9,19.507778,-99.128333,100.00,19866046.00,2015,,
'133891Q0003,Equipamiento de mobiliario para el área sustantiva 2014,38,"Instituto de Ecología, A.C.",30,0,0,100.00,110192.00,2014,,
'1312NHK0006,Programa de Adquisición de Mobiliario y Equipo para los Centros Asistenciales,12,Sistema Nacional para el Desarrollo Integral de la Familia,9,0,0,100.00,1849608.00,2014,,
'1310LAU0005,Adquisición de bienes muebles para la exploración de minerales energéticos en el SGM,10,Servicio Geológico Mexicano,34,0,0,100.00,4047124.00,2014,,
'133891Q0006,Mantenimiento integral de la infraestructura científica del INECOL 2014,38,"Instituto de Ecología, A.C.",30,0,0,100.00,1101920.00,2014,,
'1420VST0002,construcción de un centro de acopio en Hidalgo,20,"Liconsa, S.A. de C.V.",13,20.269625,-99.085967,100.00,13293559.00,2014,,
'08125140004,Construcción y Equipamiento del Nuevo Instituto de Diagnóstico y Referencia Epidemiológicos (InDRE).-2008-2015,12,Dirección General de Desarrollo de la Infraestructura Física,9,19.366805,-99.201422,100.00,1449295031.00,2015,,
'13095100005,Dragado de Mantenimiento y Obras Complementarias en la Región Pacifico Sur,9,Dirección General de Puertos,6,0,0,100.00,74337044.00,2015,,
'1520VSS0001,Mantenimiento y Rehabilitación  de Oficinas Centrales,20,"Diconsa, S.A. de C.V.",9,0,0,100.00,32880239.00,2015,,
'13095100006,Dragado de Mantenimiento y Obras Complementarias en la Región Pacifico Norte,9,Dirección General de Puertos,25,0,0,100.00,38883992.00,2015,,
'1420VSS0003,"Construcción de Almacén  Unidad Operativa Baja California, Sucursal Noroeste",20,"Diconsa, S.A. de C.V.",2,32.282052,-116.473614,100.00,19165966.00,2015,,
'14095110009,Programa de rehabilitación y mantenimiento para oficinas de Capitanías de Puerto del Pacífico,9,Dirección General de Marina Mercante,35,0,0,100.00,41996022.00,2015,,
'0809J3A0002,Construccion de vialidades secundarias y patios de uso común,9,"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V.",16,17.986126,-102.219109,100.00,108171048.00,2015,,
'1411A3Q0017,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para Educación Superior en Facultades y Áreas de Apoyo a la docencia en C.U. (Equipo de Cómputo),11,Universidad Nacional Autónoma de México,9,0,0,100.00,53375779.00,2015,,
'1306HBW0003,Adquisición de Mobiliario y Equipo,6,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",34,0,0,100.00,14918422.00,2014,,
'1412NBV0005,Adquisición de equipo médico de programas especiales 2015.,12,Instituto Nacional de Cancerología,9,0,0,100.00,8632051.00,2015,,
'1409JZL0019,Construcción de tanques de almacenamiento en estaciones de combustibles 2015,9,Aeropuertos y Servicios Auxiliares,24,22.252014,-100.935703,100.00,13360795.00,2015,,
'1411L8K0001,Construcción de un edificio anexo a la Biblioteca Daniel Cosío Villegas,11,"El Colegio de México, A.C.",9,19.303742,-99.207822,100.00,142425335.00,2015,,
'1411L8K0004,Sustitución de mobiliario y equipo de administración 2015,11,"El Colegio de México, A.C.",9,0,0,100.00,4788337.00,2015,,
'1406HBW0005,Infraestructura Institucional en el Centro de Desarrollo Tecnológico Tantakin,6,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",31,0,0,100.00,1823884.00,2015,,
'15389ZU0003,MEJORAMIENTO DE LA INFRAESTRUCTURA PARA EL DESARROLLO Y CARACTERIZACION DE RECUBRIMIENTOS ESPECIALES,38,Centro de Ingeniería y Desarrollo Industrial,22,0,0,100.00,21292392.00,2015,,
'1409J2U0003,"Dragado de Mantenimiento y Obras Complementarias en el Puerto de Telchac, Yucatán (Región Golfo Sureste y Caribe)",9,"Administración Portuaria Integral de Progreso, S.A. de C.V.",31,0,0,100.00,10545568.00,2014,,
'16081100001,Ampliación del archivero móvil del Registro Nacional Agropecuario,8,Abogado General,9,0,0,100.00,852810.00,2016,,
'1450GYR0012,"Sustitución de bancas en las salas de espera de 5 hospitales de segundo nivel, 15 unidades de primer nivel, y una Subdelegación del Estado de Baja California Sur.",50,Instituto Mexicano del Seguro Social,3,0,0,100.00,2546719.00,2015,,
'1212NDF0001,"Proyecto de Inversión para la Construcción del Puente de Intercomunicación entre el Cuerpo VIII y el CENIAQ, del Instituto Nacional de Rehabilitación 2014-2015",12,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,9,19.28878,-99.14886,100.00,5644729.00,2015,,
'1410K2N0003,Obras de apoyo a la Comunidad 2014,10,"Exportadora de Sal, S.A. de C.V.",35,0,0,100.00,6721709.00,2014,,
'143891Q0005,Equipamiento de mobiliario para el área sustantiva 2015,38,"Instituto de Ecología, A.C.",30,0,0,100.00,639411.00,2015,,
'1411A3Q0014,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para el Nivel Posgrado (Equipo de Cómputo),11,Universidad Nacional Autónoma de México,35,0,0,100.00,48893253.00,2015,,
'14312000002,Sistema toma turnos,31,Tribunales Unitarios Agrarios,35,0,0,100.00,138144.00,2015,,
'1509J2T0001,Interconexión de patios de almacenamiento  del  Recinto Portuario Fiscalizado .,9,"Administración Portuaria Integral de Mazatlán, S.A. de C.V.",25,23.11276,-106.25579,100.00,4985085.00,2015,,
'12056140001,"Programa de adquisición de bienes informáticos, equipos y aparatos de comunicaciones y telecomunicaciones, y periféricos en las representaciones de México en el exterior.",5,Dirección General de Tecnologías de Información e Innovación,33,0,0,100.00,35365177.00,2014,,
'15067120005,Servicios relacionados con obra pública para la realización de nivelaciones topográficas en el inmueble de Av. Insurgentes Sur No. 795.,6,"Dirección General de Recursos Materiales, Obra Públicay Servicios Generales",9,0,0,100.00,302867.00,2016,,
'1310LAU0002,Generación de estudios geológico - ambientales,10,Servicio Geológico Mexicano,35,0,0,100.00,16641134.00,2014,,
'133891S0002,Programa anual de adquisiciones 2014,38,"Instituto de Investigaciones ""Dr. José María Luis Mora""",9,0,0,100.00,5509598.00,2014,,
'1406HBW0010,Adquisición de Mobiliario y Equipo,6,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",34,0,0,100.00,7597049.00,2015,,
'1318TXS0001,Programa de adquisiciones de vehículos,18,,35,0,0,100.00,2281576.00,2014,,
'1511A3Q0005,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública 2016 para Escuelas y Unidades Multidisciplinarias (Equipo de Cómputo). UNAM.,11,Universidad Nacional Autónoma de México,35,0,0,100.00,28455454.00,2016,,
'14312000007,Equipamiento ingenieros agrónomos,31,Tribunales Unitarios Agrarios,35,0,0,100.00,7821907.00,2015,,
'1411L9Y0001,Programa de Adquisiciones 2014,11,Fideicomiso para la Cineteca Nacional,9,0,0,100.00,8922865.00,2014,,
'1218T4O0010,Adquisición de Vehículos para Actividades Productivas en C.P.Pajaritos,18,,30,0,0,100.00,38012282.00,2015,,
